(0.1, -0.3, 0.4)(0.0, 0.0, 0.0)
(0.2, 0.0, 0.4)(0.9, 240.0, 349.7)
(0.2, 0.0, 0.4)(1.8, 239.8, 349.0)
(0.2, 0.1, 0.4)(359.3, 242.2, 352.4)
(0.2, 0.0, 0.4)(8.0, 244.0, 351.2)
(0.2, 0.0, 0.4)(10.6, 243.2, 353.6)
(0.2, 0.0, 0.4)(23.9, 250.9, 7.6)
(0.2, 0.0, 0.4)(17.6, 246.9, 357.1)
(0.2, 0.0, 0.4)(17.8, 247.8, 1.6)
(0.2, 0.0, 0.4)(17.4, 250.6, 4.3)
(0.2, 0.0, 0.4)(23.3, 255.5, 10.5)
(0.2, 0.0, 0.4)(24.8, 253.7, 7.3)
(0.2, 0.0, 0.4)(33.1, 260.6, 3.8)
(0.2, 0.0, 0.4)(27.6, 258.5, 13.2)
(0.2, 0.0, 0.4)(32.4, 266.4, 13.0)
(0.2, 0.0, 0.4)(329.7, 103.4, 156.3)
(0.2, 0.0, 0.4)(39.3, 222.0, 176.1)
(0.2, 0.0, 0.4)(36.0, 276.0, 14.6)
(0.2, 0.0, 0.4)(34.9, 279.5, 16.6)
(0.2, 0.0, 0.4)(343.5, 111.7, 145.4)
(0.2, 0.0, 0.4)(33.1, 277.8, 18.0)
(0.2, 0.0, 0.4)(35.6, 277.8, 15.0)
(0.2, 0.0, 0.4)(26.9, 268.8, 6.6)
(0.2, 0.0, 0.4)(36.5, 277.9, 13.5)
(0.2, 0.0, 0.4)(36.5, 277.9, 13.5)
(0.2, 0.0, 0.4)(36.8, 281.1, 13.2)
(0.2, 0.0, 0.4)(36.8, 284.9, 16.7)
(0.2, 0.0, 0.4)(36.1, 286.3, 18.9)
(0.2, 0.0, 0.4)(33.5, 288.4, 20.2)
(0.2, 0.0, 0.4)(33.5, 288.4, 20.2)
(0.2, 0.0, 0.4)(36.0, 290.2, 20.0)
(0.2, 0.0, 0.4)(36.3, 290.7, 20.5)
(0.2, 0.0, 0.4)(39.3, 292.3, 21.2)
(0.2, 0.0, 0.4)(39.3, 294.4, 25.0)
(0.2, 0.0, 0.4)(41.4, 296.1, 24.5)
(0.2, 0.0, 0.4)(39.1, 297.0, 28.0)
(0.2, 0.0, 0.4)(40.0, 294.6, 22.2)
(0.2, 0.0, 0.4)(44.6, 292.2, 17.8)
