(0.1, -0.3, 0.4)(0.0, 0.0, 0.0)
(-0.2, 0.0, -0.1)(28.8, 135.0, 166.2)
(-0.2, 0.0, -0.1)(36.0, 181.6, 4.9)
(-0.2, 0.0, -0.1)(41.5, 170.5, 343.2)
(-0.2, 0.0, -0.1)(41.0, 172.8, 343.6)
(-0.2, 0.0, -0.1)(41.0, 172.8, 343.6)
(-0.2, 0.0, -0.1)(35.7, 175.0, 351.0)
(-0.2, 0.0, -0.1)(30.9, 180.7, 6.4)
(-0.2, 0.0, -0.1)(31.8, 182.7, 8.1)
(-0.2, 0.0, -0.1)(31.7, 178.1, 5.4)
(-0.2, 0.0, -0.1)(29.5, 176.5, 359.8)
(-0.2, 0.0, -0.1)(31.3, 178.1, 3.1)
(-0.2, 0.0, -0.1)(37.1, 167.2, 343.9)
(-0.2, 0.0, -0.1)(36.5, 169.6, 353.5)
(-0.2, 0.0, -0.1)(39.8, 169.6, 351.0)
(-0.2, 0.0, -0.1)(38.3, 168.8, 350.8)
(-0.2, 0.0, -0.1)(30.0, 178.4, 19.9)
(-0.2, 0.0, -0.1)(35.4, 169.1, 351.8)
(-0.2, 0.0, -0.1)(35.1, 169.9, 353.2)
(-0.2, 0.0, -0.1)(36.2, 128.3, 178.4)
(-0.2, 0.0, -0.1)(36.7, 171.0, 358.3)
(-0.2, 0.0, -0.1)(30.0, 172.7, 359.8)
(-0.2, 0.0, -0.1)(30.0, 172.7, 359.8)
(-0.2, 0.0, -0.1)(30.0, 172.7, 359.8)
(-0.2, 0.0, -0.1)(35.6, 174.3, 3.3)
(-0.2, 0.0, -0.1)(40.7, 163.9, 347.5)
(-0.2, 0.0, -0.1)(40.0, 162.3, 352.0)
(-0.2, 0.0, -0.1)(38.0, 162.8, 357.1)
(-0.2, 0.0, -0.1)(35.9, 162.5, 359.5)
(-0.2, 0.0, -0.1)(41.1, 155.2, 348.6)
(-0.2, 0.0, -0.1)(32.8, 112.1, 173.5)
(-0.2, 0.0, -0.1)(29.2, 110.3, 164.8)
(-0.2, 0.0, -0.1)(36.4, 157.1, 0.4)
(-0.2, 0.0, -0.1)(36.4, 154.5, 353.2)
(-0.2, 0.0, -0.1)(35.6, 153.2, 352.6)
(-0.2, 0.0, -0.1)(31.4, 158.3, 3.7)
(-0.2, 0.0, -0.1)(35.4, 154.8, 356.8)
(-0.2, 0.0, -0.1)(30.2, 156.1, 358.6)
(-0.2, 0.0, -0.1)(34.7, 153.8, 353.9)
(-0.2, 0.0, -0.1)(36.4, 154.5, 358.3)
(-0.2, 0.0, -0.1)(37.2, 153.7, 353.8)
(-0.2, 0.0, -0.1)(39.1, 152.8, 352.1)
(-0.2, 0.0, -0.1)(37.7, 149.2, 343.6)
(-0.2, 0.0, -0.1)(38.8, 152.7, 352.6)
(-0.2, 0.0, -0.1)(35.4, 154.2, 359.5)
(-0.2, 0.0, -0.1)(28.0, 108.4, 164.0)
(-0.2, 0.0, -0.1)(35.2, 153.6, 355.8)
(-0.2, 0.0, -0.1)(28.7, 155.2, 0.1)
(-0.2, 0.0, -0.1)(30.3, 158.9, 9.5)
(-0.2, 0.0, -0.1)(36.2, 155.3, 354.8)
(-0.2, 0.0, -0.1)(33.9, 156.1, 355.3)
(-0.2, 0.0, -0.1)(26.5, 157.4, 353.1)
(-0.2, 0.0, -0.1)(26.3, 157.7, 353.6)
(-0.2, 0.0, -0.1)(26.0, 159.1, 2.0)
(-0.2, 0.0, -0.1)(27.6, 160.7, 4.7)
(-0.2, 0.0, -0.1)(26.6, 158.3, 357.0)
(-0.2, 0.0, -0.1)(22.1, 113.7, 171.0)
(-0.2, 0.0, -0.1)(22.1, 113.7, 171.0)
(-0.2, 0.0, -0.1)(33.6, 154.7, 356.9)
(-0.2, 0.0, -0.1)(33.8, 151.5, 349.8)
(-0.2, 0.0, -0.1)(33.1, 149.9, 344.8)
(-0.2, 0.0, -0.1)(33.2, 153.3, 357.0)
(-0.2, 0.0, -0.1)(32.7, 150.6, 347.6)
(-0.2, 0.0, -0.1)(31.4, 153.2, 352.7)
(-0.2, 0.0, -0.1)(26.5, 156.6, 1.8)
(-0.2, 0.0, -0.1)(29.3, 158.2, 8.2)
(-0.2, 0.0, -0.1)(29.6, 158.8, 19.8)
(-0.2, 0.0, -0.1)(37.0, 152.4, 358.6)
(-0.2, 0.0, -0.1)(31.3, 152.4, 1.2)
(-0.2, 0.0, -0.1)(41.3, 146.2, 351.5)
(-0.2, 0.0, -0.1)(41.3, 146.6, 355.5)
(-0.2, 0.0, -0.1)(30.1, 103.6, 163.6)
(-0.2, 0.0, -0.1)(37.6, 150.5, 5.4)
(-0.2, 0.0, -0.1)(35.4, 150.5, 5.7)
(-0.2, 0.0, -0.1)(34.3, 151.3, 7.4)
(-0.2, 0.0, -0.1)(35.6, 148.5, 2.0)
(-0.2, 0.0, -0.1)(36.1, 149.2, 6.0)
(-0.2, 0.0, -0.1)(40.4, 147.6, 4.2)
(-0.2, 0.0, -0.1)(39.4, 141.4, 346.7)
(-0.2, 0.0, -0.1)(35.2, 141.2, 346.0)
(-0.2, 0.0, -0.1)(32.5, 143.6, 350.2)
(-0.2, 0.0, -0.1)(32.5, 143.6, 350.2)
(-0.2, 0.0, -0.1)(21.0, 99.3, 162.6)
(-0.2, 0.0, -0.1)(29.6, 141.8, 349.5)
(-0.2, 0.0, -0.1)(29.0, 142.3, 350.6)
(-0.2, 0.0, -0.1)(33.3, 139.9, 343.4)
(-0.2, 0.0, -0.1)(30.4, 139.2, 340.2)
(-0.2, 0.0, -0.1)(23.3, 145.7, 353.3)
(-0.2, 0.0, -0.1)(29.2, 141.1, 342.9)
(-0.2, 0.0, -0.1)(21.9, 144.7, 348.7)
(-0.2, 0.0, -0.1)(21.6, 144.8, 350.5)
(-0.2, 0.0, -0.1)(24.0, 140.3, 343.3)
(-0.2, 0.0, -0.1)(22.7, 139.2, 341.7)
(-0.2, 0.0, -0.1)(17.2, 140.7, 344.7)
(-0.2, 0.0, -0.1)(14.5, 144.6, 354.4)
(-0.2, 0.0, -0.1)(15.8, 141.4, 349.2)
(-0.2, 0.0, -0.1)(22.5, 138.0, 339.6)
(-0.2, 0.0, -0.1)(24.5, 141.6, 358.1)
(-0.2, 0.0, -0.1)(23.3, 145.9, 7.7)
(-0.2, 0.0, -0.1)(22.0, 145.3, 0.6)
(-0.2, 0.0, -0.1)(30.1, 140.1, 358.7)
(-0.2, 0.0, -0.1)(19.5, 143.3, 348.3)
(-0.2, 0.0, -0.1)(19.1, 143.1, 347.4)
(-0.2, 0.0, -0.1)(19.5, 142.9, 346.8)
(-0.2, 0.0, -0.1)(19.5, 142.9, 346.8)
(-0.2, 0.0, -0.1)(20.6, 136.6, 335.6)
(-0.2, 0.0, -0.1)(22.8, 136.3, 341.4)
(-0.2, 0.0, -0.1)(21.2, 134.2, 339.3)
(-0.2, 0.0, -0.1)(26.4, 140.6, 359.1)
(-0.2, 0.0, -0.1)(19.2, 142.0, 353.8)
(-0.2, 0.0, -0.1)(21.1, 142.6, 354.6)
(-0.2, 0.0, -0.1)(22.9, 142.7, 353.0)
(-0.2, 0.0, -0.1)(20.2, 102.7, 172.1)
(-0.2, 0.0, -0.1)(29.1, 138.9, 347.0)
(-0.2, 0.0, -0.1)(27.2, 141.3, 354.6)
(-0.2, 0.0, -0.1)(27.2, 141.3, 354.6)
(-0.2, 0.0, -0.1)(31.4, 130.4, 343.9)
(-0.2, 0.0, -0.1)(35.1, 134.7, 11.0)
(-0.2, 0.0, -0.1)(35.4, 130.0, 356.6)
(-0.2, 0.0, -0.1)(34.2, 126.4, 349.6)
(-0.2, 0.0, -0.1)(39.0, 120.6, 350.2)
(-0.2, 0.0, -0.1)(41.1, 121.9, 356.5)
(-0.2, 0.0, -0.1)(40.2, 125.0, 6.4)
(-0.2, 0.0, -0.1)(329.2, 319.1, 156.5)
(-0.2, 0.0, -0.1)(38.4, 123.8, 4.6)
(-0.2, 0.0, -0.1)(41.2, 120.9, 2.1)
(-0.2, 0.0, -0.1)(40.1, 121.2, 5.5)
(-0.2, 0.0, -0.1)(42.0, 117.9, 359.7)
(-0.2, 0.0, -0.1)(42.8, 118.2, 359.9)
(-0.2, 0.0, -0.1)(43.1, 123.4, 7.5)
(-0.2, 0.0, -0.1)(38.4, 118.3, 5.1)
(-0.2, 0.0, -0.1)(37.7, 68.3, 161.9)
(-0.2, 0.0, -0.1)(40.4, 115.4, 1.3)
(-0.2, 0.0, -0.1)(46.6, 114.5, 359.8)
(-0.2, 0.0, -0.1)(47.4, 114.7, 0.8)
(-0.2, 0.0, -0.1)(43.9, 119.7, 8.4)
(-0.2, 0.0, -0.1)(31.9, 68.0, 157.3)
(-0.2, 0.0, -0.1)(321.9, 313.2, 156.0)
(-0.2, 0.0, -0.1)(44.0, 115.3, 358.6)
(-0.2, 0.0, -0.1)(44.9, 114.9, 359.9)
(-0.2, 0.0, -0.1)(47.6, 114.2, 358.4)
(-0.2, 0.0, -0.1)(46.8, 109.6, 351.6)
(-0.2, 0.0, -0.1)(46.8, 108.8, 349.9)
(-0.2, 0.0, -0.1)(46.8, 108.8, 349.9)
(-0.2, 0.0, -0.1)(44.2, 119.2, 9.1)
(-0.2, 0.0, -0.1)(39.5, 113.3, 359.9)
(-0.2, 0.0, -0.1)(327.1, 310.9, 155.3)
(-0.2, 0.0, -0.1)(43.0, 115.7, 5.3)
(-0.2, 0.0, -0.1)(43.0, 109.6, 355.7)
(-0.2, 0.0, -0.1)(46.5, 110.5, 356.0)
(-0.2, 0.0, -0.1)(46.0, 113.9, 5.6)
(-0.2, 0.0, -0.1)(42.7, 112.6, 2.7)
(-0.2, 0.0, -0.1)(44.0, 110.8, 360.0)
(-0.2, 0.0, -0.1)(42.7, 109.4, 359.0)
(-0.2, 0.0, -0.1)(42.7, 109.4, 359.0)
(-0.2, 0.0, -0.1)(41.4, 113.7, 5.0)
(-0.2, 0.0, -0.1)(36.3, 63.2, 164.3)
(-0.2, 0.0, -0.1)(38.5, 111.7, 0.2)
(-0.2, 0.0, -0.1)(320.0, 303.9, 165.2)
(-0.2, 0.0, -0.1)(318.5, 304.1, 164.6)
(-0.2, 0.0, -0.1)(35.0, 110.6, 353.5)
(-0.2, 0.0, -0.1)(35.0, 110.6, 353.5)
(-0.2, 0.0, -0.1)(35.0, 110.6, 353.5)
(-0.2, 0.0, -0.1)(40.3, 116.0, 7.1)
(-0.2, 0.0, -0.1)(42.6, 112.4, 359.9)
(-0.2, 0.0, -0.1)(35.2, 114.8, 5.8)
(-0.2, 0.0, -0.1)(43.8, 108.6, 351.6)
(-0.2, 0.0, -0.1)(43.8, 108.6, 351.6)
